Title,Release Date,Rating,Times Listed,Number of Reviews,Genres,Plays,Wishlist
Final Fantasy VI,"Apr 02, 1994",4.4,1600,1600,"['Adventure', 'RPG']",6100,1300
Resident Evil 3,"Apr 03, 2020",3.2,1300,1300,"['Adventure', 'Shooter']",8400,1600
Mario Kart Wii,"Apr 10, 2008",3.9,100,100,['Racing'],1900,168
Final Fantasy VII Remake,"Apr 10, 2020",4.1,200,200,"['Adventure', 'RPG']",1200,2200
Portal 2,"Apr 18, 2011",4.4,2900,2900,"['Adventure', 'Platform', 'Puzzle', 'Shooter']",2900,1200
Katana Zero,"Apr 18, 2019",4.1,1100,1100,"['Adventure', 'Arcade', 'Indie', 'Platform', 'Strategy']",9300,1500
Psychonauts,"Apr 19, 2005",4,1200,1200,"['Adventure', 'Platform']",7100,1200
Persona 3 FES,"Apr 19, 2007",4.1,1400,1400,"['RPG', 'Simulator', 'Visual Novel']",8400,1500
Fire Emblem: Awakening,"Apr 19, 2012",3.8,1200,1200,"['Adventure', 'RPG', 'Strategy']",9500,814
Mother 3,"Apr 20, 2006",4.5,1600,1600,"['RPG', 'Turn Based Strategy']",5700,1900
God of War,"Apr 20, 2018",4.2,2900,2900,"['Adventure', 'Brawler', 'RPG']",2100,2600
NieR Replicant ver.1.22474487139...,"Apr 22, 2021",4.2,1500,1500,"['Adventure', 'RPG']",6700,3700
The Walking Dead: Season One,"Apr 24, 2012",4,1200,1200,"['Adventure', 'Point-and-Click']",1200,467
What Remains of Edith Finch,"Apr 24, 2017",4,1400,1400,"['Adventure', 'Indie', 'Puzzle']",8600,1300
The Legend of Zelda: Majora's Mask,"Apr 27, 2000",4.4,2200,2200,['Adventure'],1300,1800
Mario Kart 8 Deluxe,"Apr 28, 2017",4,1500,1500,"['Arcade', 'Racing']",1900,635
Grand Theft Auto IV,"Apr 29, 2008",3.8,1100,1100,"['Adventure', 'Racing', 'Shooter']",1400,721
Super Mario World 2: Yoshi's Island,"Aug 05, 1995",4.1,1100,1100,['Platform'],7100,360
Sonic Mania,"Aug 15, 2017",4,1300,1300,"['Adventure', 'Platform']",1200,786
